,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,pre1950,Семантическая когорта
269,вкусовой,прилагательное,1,0,0,1,0,0,0,0,1.5352536857367873,вкусный
270,вкушение,существительное,1,0,0,1,0,0,0,0,0.6475219626917061,вкусный
271,влага,существительное,1,1,0,0,0,0,0,0,13.242868527307797,осязание
272,влажность,существительное,1,1,0,0,0,0,0,0,2.32899028516533,атмосфера
273,влажный,прилагательное,1,1,0,0,0,0,0,0,24.898263855758508,атмосфера
278,воблый,прилагательное,0,1,1,0,0,0,0,0,0.10443902624059778,форма
279,возглас,существительное,1,0,0,0,1,0,0,0,22.141073563006728,голос
283,волглый,прилагательное,1,1,0,0,0,0,0,0,0.281985370849614,атмосфера
286,вонища,существительное,1,0,0,0,0,1,0,0,0.2715414682255542,вонь
288,вонь,существительное,1,0,0,0,0,1,0,0,5.503936682879503,вонь
289,вонький,прилагательное,1,0,0,0,0,1,0,0,0.15665853936089666,вонь
291,вонючий,прилагательное,1,0,0,0,0,1,0,0,8.261126975631283,вонь
292,вонючка,существительное,1,0,0,0,0,1,0,0,0.10443902624059778,вонь
306,востренький,прилагательное,1,1,0,0,0,0,0,0,0.32376098134585307,осязание
307,вострый,прилагательное,1,1,0,0,0,0,0,0,3.185390300338232,осязание
313,вскрик,существительное,1,0,0,0,1,0,0,0,3.007843955729216,голос
314,вскрикивать,глагол,1,0,0,0,1,0,0,0,8.42822941761624,голос
316,вскрикнуть,глагол,1,0,0,0,1,0,0,0,22.652824791585655,голос
319,всплеск,существительное,1,0,0,0,1,0,0,0,4.250668367992329,звучать
321,втора,существительное,1,0,0,0,1,0,0,0,1.1906048991428146,музыка
333,выкрик,существительное,1,0,0,0,1,0,0,0,7.707600136556116,голос
334,выкрикивать,глагол,1,0,0,0,1,0,0,0,12.511795343623614,голос
337,выкрикнуть,глагол,1,0,0,0,1,0,0,0,7.853814773292951,голос
343,вымокнуть,глагол,1,1,0,0,0,0,0,0,1.733687835593923,атмосфера
346,выпукло,наречие,0,1,1,0,0,0,0,0,1.5352536857367873,форма
347,выпуклость,существительное,0,1,1,0,0,0,0,0,2.6005317533908845,форма
348,выпуклый,прилагательное,0,1,1,0,0,0,0,0,11.498736789089815,форма
358,высокий,прилагательное,0,0,1,0,1,0,0,0,543.1978193799731,размер
362,высоченный,прилагательное,0,0,1,0,1,0,0,0,1.1906048991428146,размер
368,вытянутый,прилагательное,1,0,1,0,0,0,0,0,10.27680018207482,размер
370,вяжущий,причастие,0,1,0,1,0,0,0,0,0.5535268390751682,вкусный
371,вязкий,прилагательное,0,1,0,1,0,0,0,0,3.383824450195368,вещество
372,вязко,наречие,0,1,0,1,0,0,0,0,0.26109756560149444,вещество
373,вязкость,существительное,0,1,0,1,0,0,0,0,0.4490878128345704,вещество
377,габаритный,прилагательное,0,1,1,0,0,0,0,0,0.06266341574435866,размер 
385,гам,существительное,1,0,0,0,1,0,0,0,5.2846147277742475,звучать
386,гамма,существительное,1,0,0,0,1,0,0,0,4.5430976414660025,музыка
388,гвалт,существительное,1,0,0,0,1,0,0,0,3.185390300338232,звучать
397,гигантский,прилагательное,1,0,1,0,0,0,0,0,26.736390717593032,размер 
401,гладенький,прилагательное,1,1,1,0,0,0,0,0,0.6057463521954671,осязание
402,гладкий,прилагательное,1,1,1,0,0,0,1,0,24.37606872455552,осязание
403,гладко,наречие,1,1,1,0,0,0,1,0,14.590131965811509,осязание
409,глас,существительное,1,0,0,0,1,0,0,0,5.733702540608818,звучать
417,глиссандо,существительное,1,0,0,0,1,0,0,0,0.06266341574435866,музыка
425,глубина,существительное,0,0,1,1,1,0,0,0,133.6401779774689,размер
427,глубокий-глубокий,прилагательное,0,0,1,1,1,0,0,0,0.20887805248119556,размер
429,глубоко,наречие,0,0,1,1,1,0,0,0,95.4990455944026,размер
430,глубоко-глубоко,наречие,0,0,1,1,1,0,0,0,0.5013073259548693,размер
455,гнедой,прилагательное,1,0,1,0,0,0,0,0,5.096624480541172,цвет
456,гнилостный,прилагательное,1,0,0,0,0,1,0,0,0.5953024495714073,вонь
461,голос,существительное,1,0,0,0,1,0,0,0,603.281591176189,голос
462,голубенький,прилагательное,1,0,1,0,0,0,0,0,1.8799024723307598,цвет
463,голубовато-серый,прилагательное,1,0,1,0,0,0,0,0,0.6788536705638856,цвет
465,голубоватый,прилагательное,1,0,1,0,0,0,0,0,6.652765971526078,цвет
466,голубой,прилагательное,1,0,1,0,0,0,0,0,93.56692360895154,цвет
468,гомон,существительное,1,0,0,0,1,0,0,0,3.791136652533699,звучать
470,горечь,существительное,1,0,0,1,0,0,1,0,21.702429652796216,вкусный
475,горчинка,существительное,1,0,0,1,0,0,0,0,0.07310731836841844,вкусный
476,горчить,глагол,1,0,0,1,0,0,0,0,0.21932195510525532,вкусный
477,горький,прилагательное,0,0,0,1,0,1,1,0,119.2067045510183,вкусный
480,горько,наречие,0,0,0,1,0,1,1,0,25.20113703185624,вкусный
484,горьковатый,прилагательное,0,0,0,1,0,1,0,0,1.3785951463758905,вкусный
494,горяченький,прилагательное,1,1,0,0,0,0,0,0,0.7624048915563637,температура
495,горячий,прилагательное,1,1,0,0,0,0,1,0,110.94557757538702,температура
496,горячо,наречие,1,1,0,0,0,0,1,0,43.540630039705206,температура
497,гранатовый,прилагательное,1,0,1,0,0,0,1,0,1.3681512437518308,цвет
504,громадный,прилагательное,1,0,1,0,0,0,0,0,115.18580204075528,размер 
505,громкость,существительное,1,0,0,0,1,0,0,0,1.5248097831127274,звучать
509,громыхание,существительное,1,0,0,0,1,0,0,0,0.5744146443232877,звучать
510,громыхать,глагол,1,0,0,0,1,0,0,0,5.096624480541172,звучать
512,грохотать,глагол,1,0,0,0,1,0,0,0,8.501336735984658,звучать
520,грязно-белый,прилагательное,1,0,1,0,0,0,0,0,0.375980494466152,цвет
523,грязно-серый,прилагательное,1,0,1,0,0,0,0,0,0.5535268390751682,цвет
526,гул,существительное,1,0,0,0,1,0,0,0,30.924395669840997,звучать
527,гулкий,прилагательное,1,0,0,0,1,0,0,0,8.177575754638806,звучать
528,гулко,наречие,1,0,0,0,1,0,0,0,8.344678196623763,звучать
529,гулкость,существительное,1,0,0,0,1,0,0,0,0.05221951312029889,звучать
531,гунявый,прилагательное,1,0,0,0,0,1,0,0,0.6475219626917061,вонь
535,густо-красный,прилагательное,1,0,1,0,0,0,0,0,0.12532683148871732,цвет
536,густо-синий,прилагательное,1,0,1,0,0,0,0,0,0.375980494466152,цвет
544,двуострый,прилагательное,0,1,1,0,0,0,0,0,0.06266341574435866,осязание
546,деликатесный,прилагательное,1,0,0,1,0,0,0,0,0.06266341574435866,вкусный
556,десертный,прилагательное,0,0,0,1,0,1,1,0,0.2297658577293151,вкусный
561,диссонанс,существительное,1,0,0,0,1,0,1,0,2.6214195586390043,музыка
566,длинненький,прилагательное,0,0,1,0,1,0,0,0,0.2297658577293151,размер
567,длинно,наречие,0,0,1,0,1,0,0,0,3.989570802390835,размер
571,длинноватый,прилагательное,0,0,1,0,1,0,0,0,0.29242927347367376,размер
572,длиннущий,прилагательное,0,0,1,0,1,0,0,0,0.07310731836841844,размер
573,длинный,прилагательное,0,0,1,0,1,0,0,0,234.05830170780368,размер
574,длинный-длинный,прилагательное,0,0,1,0,1,0,0,0,0.6475219626917061,размер
575,длинный-предлинный,прилагательное,0,0,1,0,1,0,0,0,0.25065366297743463,размер
576,длиннющий,прилагательное,0,0,1,0,1,0,0,0,0.24020976035337488,размер
589,доноситься,глагол,1,0,0,0,1,0,1,0,31.35259567742745,звучать
604,духан,существительное,1,0,0,0,0,1,0,0,1.2010488017668743,вонь
607,духмяный,прилагательное,1,0,0,0,0,1,0,0,0.10443902624059778,запах
609,духовитый,прилагательное,1,0,0,0,0,1,0,0,0.6892975731879453,запах
610,духота,существительное,1,1,0,0,0,0,0,0,8.094024533646326,атмосфера
611,душисто,наречие,1,0,0,0,0,1,0,0,0.29242927347367376,запах
613,душистый,прилагательное,1,0,0,0,0,1,0,0,13.56662950865365,запах
614,душок,существительное,1,0,0,0,0,1,0,0,1.2010488017668743,вонь
615,дымчато-серый,прилагательное,1,0,1,0,0,0,0,0,0.11488292886465755,цвет
617,дымчатый,прилагательное,1,0,1,0,0,0,0,0,3.3316049370750687,цвет
618,дюжий,прилагательное,1,0,1,0,0,0,0,0,3.4256000606916066,размер 
619,едкий,прилагательное,0,1,0,1,0,1,1,0,10.955653852638706,вонь
620,едко,наречие,0,1,0,1,0,1,1,0,2.109668330060075,вонь
621,едкость,существительное,0,1,0,1,0,1,1,0,0.4490878128345704,вонь
622,елевый,прилагательное,0,0,1,0,0,1,1,0,0.07310731836841844,цвет
624,жар,существительное,1,1,0,0,0,0,1,0,24.82515653739009,атмосфера
625,жара,существительное,1,1,0,0,0,0,1,0,38.245571409306905,атмосфера
626,жареный,прилагательное,0,1,0,1,0,1,0,0,10.34990750044324,вкусный
628,жарища,существительное,1,1,0,0,0,0,0,0,0.4490878128345704,атмосфера
629,жаркий,прилагательное,1,1,0,0,0,0,1,0,26.736390717593032,атмосфера
630,жарко,наречие,1,1,0,0,0,0,0,0,32.156776179480055,атмосфера
634,жарынь,существительное,1,1,0,0,0,0,0,0,0.19843414985713578,атмосфера
636,жгучесть,существительное,0,1,0,1,0,1,0,горячий,0.35509268921803244,осязание
637,жгучий,прилагательное,0,1,0,1,0,1,0,горячий,16.250712483037013,осязание
652,жирненький,прилагательное,0,1,1,0,0,0,0,0,0.24020976035337488,вкусный
673,загрубелый,прилагательное,1,1,0,0,0,0,0,0,0.34464878659397263,осязание
677,закаменелый,прилагательное,1,1,0,0,0,0,1,0,0.10443902624059778,осязание
678,закиснуть,глагол,1,0,0,1,0,0,1,0,0.5430829364511084,вкусный
680,закругление,существительное,1,0,1,0,0,0,0,0,0.7415170863082441,форма
682,закруглить,глагол,1,0,1,0,0,0,0,0,1.691912225097684,форма
685,заливаться,глагол,1,0,0,0,1,0,1,0,10.005258713849267,звучать
706,запах,существительное,1,0,0,0,0,1,0,0,85.85932347239543,запах
710,запашистый,прилагательное,1,0,0,0,0,1,0,0,0.093995123616538,запах
711,запашок,существительное,1,0,0,0,0,1,0,0,0.187990247233076,вонь
721,засолить,глагол,1,0,0,1,0,0,0,0,0.49086342333080946,вкусный
727,застылый,причастие,1,1,0,0,0,0,0,0,12.396912414758955,температура
728,засуха,существительное,1,1,0,0,0,0,0,0,5.347278143518606,атмосфера
729,засушливый,прилагательное,1,1,0,0,0,0,0,0,0.8250683073007223,атмосфера
733,затверделый,прилагательное,1,1,0,0,0,0,0,0,0.10443902624059778,осязание
734,затвердеть,глагол,1,1,0,0,0,0,0,0,1.3263756332555916,осязание
742,затхло,наречие,0,0,0,1,0,1,0,0,0.17754634460901622,запах
743,затхлый,прилагательное,1,0,0,1,0,1,0,0,3.007843955729216,запах
748,зачерствелый,прилагательное,1,1,0,0,0,0,1,0,0.15665853936089666,вкусный
749,зачерстветь,глагол,1,1,0,0,0,0,1,0,0.30287317609773357,вкусный
753,звенеть,глагол,1,0,0,0,1,0,0,0,28.741620021412505,звучать
755,звенящий,причастие,1,0,0,0,1,0,0,0,5.963468398338133,звучать
756,звон,существительное,1,0,0,0,1,0,0,0,47.44664962110357,звучать
757,звонить,глагол,1,0,0,0,1,0,0,0,46.987117905644936,звучать
758,звонкий,прилагательное,1,0,0,0,1,0,0,0,23.603219930375097,звучать
759,звонко,наречие,1,0,0,0,1,0,0,0,16.198492969916714,звучать
760,звонкость,существительное,1,0,0,0,1,0,0,0,0.375980494466152,звучать
761,звонок,существительное,1,0,0,0,1,0,0,0,43.75995199481047,звучать
763,звук,существительное,1,0,0,0,1,0,0,0,150.97705633340811,звучать
764,звучание,существительное,0,0,0,0,1,1,0,аромат,3.7284732367893407,звучать
768,здоровенный,прилагательное,1,0,1,0,0,0,0,0,5.869473274721595,размер 
775,зеленовато-голубой,прилагательное,1,0,1,0,0,0,0,0,0.4073122023383313,цвет
776,зеленоватый,прилагательное,1,0,1,0,0,0,0,0,11.582288010082292,цвет
781,землисто-серый,прилагательное,1,0,1,0,0,0,0,0,0.12532683148871732,цвет
783,землистый,прилагательное,1,0,1,0,0,0,0,0,2.631863461263064,цвет
