,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,post1950,Семантическая когорта
556,десертный,прилагательное,0,0,0,1,0,1,1,0,0.7621697995985274,вкусный
561,диссонанс,существительное,1,0,0,0,1,0,1,0,2.1494284995872137,музыка
566,длинненький,прилагательное,0,0,1,0,1,0,0,0,0.1919132588917155,размер
567,длинно,наречие,0,0,1,0,1,0,0,0,3.6573183908792646,размер
571,длинноватый,прилагательное,0,0,1,0,1,0,0,0,0.745720091693523,размер
572,длиннущий,прилагательное,0,0,1,0,1,0,0,0,0.06579883162001675,размер
573,длинный,прилагательное,0,0,1,0,1,0,0,0,181.65412439496123,размер
574,длинный-длинный,прилагательное,0,0,1,0,1,0,0,0,0.767653035566862,размер
575,длинный-предлинный,прилагательное,0,0,1,0,1,0,0,0,0.4386588774667783,размер
576,длиннющий,прилагательное,0,0,1,0,1,0,0,0,2.8622491754707284,размер
589,доноситься,глагол,1,0,0,0,1,0,1,0,23.320202573327602,звучать
597,дубак,существительное,1,1,0,0,0,0,0,0,0.049349123715012565,температура
604,духан,существительное,1,0,0,0,0,1,0,0,0.7566865636301926,вонь
607,духмяный,прилагательное,1,0,0,0,0,1,0,0,0.10966471936669457,запах
609,духовитый,прилагательное,1,0,0,0,0,1,0,0,0.36189357391009214,запах
610,духота,существительное,1,1,0,0,0,0,0,0,7.062407927215131,атмосфера
611,душисто,наречие,1,0,0,0,0,1,0,0,0.09321501146169038,запах
612,душистость,существительное,1,0,0,0,0,1,0,0,0.06031559565168203,запах
613,душистый,прилагательное,1,0,0,0,0,1,0,0,8.241303660407098,запах
614,душок,существительное,1,0,0,0,0,1,0,0,1.4749904754820422,вонь
615,дымчато-серый,прилагательное,1,0,1,0,0,0,0,0,0.12611442727169878,цвет
616,дымчато-синий,прилагательное,1,0,1,0,0,0,0,0,0.032899415810008374,цвет
617,дымчатый,прилагательное,1,0,1,0,0,0,0,0,2.429073533972285,цвет
618,дюжий,прилагательное,1,0,1,0,0,0,0,0,2.089112903935532,размер 
619,едкий,прилагательное,0,1,0,1,0,1,1,0,6.969192915753441,вонь
620,едко,наречие,0,1,0,1,0,1,1,0,1.2611442727169877,вонь
621,едкость,существительное,0,1,0,1,0,1,1,0,0.15901384308170713,вонь
624,жар,существительное,1,1,0,0,0,0,1,0,15.429826014893926,атмосфера
625,жара,существительное,1,1,0,0,0,0,1,0,38.79937771193654,атмосфера
626,жареный,прилагательное,0,1,0,1,0,1,0,0,13.98225171925356,вкусный
628,жарища,существительное,1,1,0,0,0,0,0,0,0.5647733047384771,атмосфера
629,жаркий,прилагательное,1,1,0,0,0,0,1,0,19.695783598258345,атмосфера
630,жарко,наречие,1,1,0,0,0,0,0,0,21.565567063460488,атмосфера
634,жарынь,существительное,1,1,0,0,0,0,0,0,0.0767653035566862,атмосфера
636,жгучесть,существительное,0,1,0,1,0,1,0,горячий,0.10966471936669457,осязание
637,жгучий,прилагательное,0,1,0,1,0,1,0,горячий,8.334518671868787,осязание
639,желтенький,прилагательное,1,0,1,0,0,0,0,0,0.032899415810008374,цвет
645,желтовато-красный,прилагательное,1,0,1,0,0,0,0,0,0.054832359683347286,цвет
646,жемчужно-белый,прилагательное,1,0,1,0,0,0,0,0,0.027416179841673643,цвет
647,жемчужно-серый,прилагательное,1,0,1,0,0,0,0,0,0.2302959106700586,цвет
652,жирненький,прилагательное,0,1,1,0,0,0,0,0,0.17546355098671132,вкусный
673,загрубелый,прилагательное,1,1,0,0,0,0,0,0,0.10418148339835985,осязание
677,закаменелый,прилагательное,1,1,0,0,0,0,1,0,0.1315976632400335,осязание
678,закиснуть,глагол,1,0,0,1,0,0,1,0,0.548323596833473,вкусный
680,закругление,существительное,1,0,1,0,0,0,0,0,0.44414211343511306,форма
682,закруглить,глагол,1,0,1,0,0,0,0,0,1.9355822968221592,форма
685,заливаться,глагол,1,0,0,0,1,0,1,0,5.77384747465647,звучать
706,запах,существительное,1,0,0,0,0,1,0,0,104.75173993906665,запах
710,запашистый,прилагательное,1,0,0,0,0,1,0,0,0.09869824743002513,запах
711,запашок,существительное,1,0,0,0,0,1,0,0,0.5812230126434813,вонь
721,засолить,глагол,1,0,0,1,0,0,0,0,0.8718345189652219,вкусный
727,застылый,причастие,1,1,0,0,0,0,0,0,13.47231077419843,температура
728,засуха,существительное,1,1,0,0,0,0,0,0,5.65869951932144,атмосфера
729,засушливый,прилагательное,1,1,0,0,0,0,0,0,2.610020320927331,атмосфера
733,затверделый,прилагательное,1,1,0,0,0,0,0,0,0.06031559565168203,осязание
734,затвердеть,глагол,1,1,0,0,0,0,0,0,2.2316770391122347,осязание
742,затхло,наречие,0,0,0,1,0,1,0,0,0.08773177549335566,запах
743,затхлый,прилагательное,1,0,0,1,0,1,0,0,2.2974758707322516,запах
748,зачерствелый,прилагательное,1,1,0,0,0,0,1,0,0.08773177549335566,вкусный
749,зачерстветь,глагол,1,1,0,0,0,0,1,0,0.40027622568843524,вкусный
753,звенеть,глагол,1,0,0,0,1,0,0,0,16.06039815125242,звучать
755,звенящий,причастие,1,0,0,0,1,0,0,0,3.980829313011013,звучать
756,звон,существительное,1,0,0,0,1,0,0,0,24.334601227469527,звучать
757,звонить,глагол,1,0,0,0,1,0,0,0,116.73261052987804,звучать
758,звонкий,прилагательное,1,0,0,0,1,0,0,0,12.079568838241409,звучать
759,звонко,наречие,1,0,0,0,1,0,0,0,7.117240286898478,звучать
760,звонкость,существительное,1,0,0,0,1,0,0,0,0.4222091695617741,звучать
761,звонок,существительное,1,0,0,0,1,0,0,0,74.5062103377323,звучать
763,звук,существительное,1,0,0,0,1,0,0,0,122.69837126342622,звучать
764,звучание,существительное,0,0,0,0,1,1,0,аромат,11.657359668679634,звучать
765,звучок,существительное,1,0,0,0,1,0,0,0,0.07128206758835147,звучать
768,здоровенный,прилагательное,1,0,1,0,0,0,0,0,10.275584204659282,размер 
775,зеленовато-голубой,прилагательное,1,0,1,0,0,0,0,0,0.2083629667967197,цвет
776,зеленоватый,прилагательное,1,0,1,0,0,0,0,0,7.671047119700286,цвет
781,землисто-серый,прилагательное,1,0,1,0,0,0,0,0,0.09869824743002513,цвет
783,землистый,прилагательное,1,0,1,0,0,0,0,0,1.2446945648119834,цвет
788,златой,прилагательное,1,0,1,0,0,0,0,0,0.8553848110602178,цвет
789,зловоние,существительное,1,0,0,0,0,1,0,0,1.1459963173819583,вонь
790,зловонно,наречие,1,0,0,0,0,1,0,0,0.09321501146169038,вонь
791,зловонный,прилагательное,1,0,0,0,0,1,0,0,2.33037528654226,вонь
793,знобкий,прилагательное,1,1,0,0,0,0,0,0,0.25222885454339755,температура
794,знобко,наречие,1,1,0,0,0,0,0,0,0.2412623826067281,температура
795,зной,существительное,1,1,0,0,0,0,0,0,6.766313184925056,атмосфера
796,знойкий,прилагательное,1,1,0,0,0,0,0,0,0.25222885454339755,атмосфера
797,знойно,наречие,1,1,0,0,0,0,0,0,0.21384620276505445,атмосфера
798,знойный,существительное,1,1,0,0,0,0,1,0,4.682683516957859,атмосфера
799,золотенький,прилагательное,1,0,1,0,0,0,0,0,0.10418148339835985,цвет
800,золотисто-красный,прилагательное,1,0,1,0,0,0,0,0,0.06031559565168203,цвет
801,золотистый,прилагательное,1,0,1,0,0,0,0,0,11.876689107413023,цвет
820,зябко,наречие,1,1,0,0,0,0,0,0,4.381105538699448,температура
826,изгиб,существительное,0,1,1,0,0,0,0,гибкий,7.786195075035315,форма
827,изгибать,глагол,0,1,1,0,0,0,0,гибкий,0.9266668786485692,форма
828,изгибаться,глагол,0,1,1,0,0,0,0,гибкий,3.284458345032503,форма
858,изумрудный,прилагательное,1,0,1,0,0,0,1,0,4.841697360039566,цвет
865,индиго,прилагательное,1,0,1,0,0,0,1,0,1.41467487983036,цвет
866,индиговый,прилагательное,1,0,1,0,0,0,1,0,0.1151479553350293,цвет
874,искривить,глагол,1,0,1,0,0,0,0,0,2.807416815787381,форма
875,искривиться,глагол,1,0,1,0,0,0,0,0,0.5538068328018076,форма
876,искривление,существительное,1,0,1,0,0,0,0,0,1.2556610367486531,форма
895,иссиня-белый,прилагательное,1,0,1,0,0,0,0,0,0.08224853952502094,цвет
913,какофония,существительное,1,0,0,0,1,0,0,0,0.9814992383319164,музыка
917,камертон,существительное,1,0,0,0,1,0,0,0,1.2666275086853225,музыка
919,канареечный,прилагательное,1,0,1,0,0,0,1,0,0.6141224284534896,цвет
921,караковый,прилагательное,1,0,1,0,0,0,0,0,0.12611442727169878,цвет
922,карамельный,прилагательное,1,0,0,1,0,1,0,0,0.3947929897201005,вкусный
923,карий,прилагательное,1,0,1,0,0,0,0,0,5.34615506912636,цвет
927,карминный,прилагательное,1,0,1,0,0,0,0,0,0.20287973082838495,цвет
929,карминовый,прилагательное,1,0,1,0,0,0,0,0,0.08224853952502094,цвет
940,каштановый,прилагательное,1,0,1,0,0,0,0,0,7.539449456460252,цвет
941,квадрат,существительное,1,0,1,0,0,0,0,0,19.778032137783367,форма
942,квадратный,прилагательное,1,0,1,0,0,0,0,0,28.359296428227218,форма
944,квас,существительное,0,0,0,1,0,1,1,0,5.313255653316353,вкусный
947,квашеный,прилагательное,1,0,0,1,0,0,0,0,2.12201231974554,вкусный
950,киноварный,прилагательное,1,0,1,0,0,0,1,0,0.15901384308170713,цвет
951,кипенный,прилагательное,1,0,1,0,0,0,1,0,0.0767653035566862,цвет
954,кирпично-красный,прилагательное,1,0,1,0,0,0,1,0,0.21932943873338914,цвет
956,кисленький,прилагательное,1,0,0,1,0,0,0,0,0.3947929897201005,вкусный
958,кислинка,существительное,1,0,0,1,0,0,0,0,0.2741617984167365,вкусный
959,кисло,наречие,1,0,0,1,0,0,0,0,2.2919926347639166,вкусный
960,кисловато,наречие,1,0,0,1,0,0,0,0,0.1151479553350293,вкусный
961,кислота,существительное,1,0,0,1,0,0,1,0,37.225688989024476,вкусный
962,кислотность,существительное,1,0,0,1,0,0,0,0,1.8752667011704773,вкусный
963,кислый,прилагательное,1,0,0,1,0,0,1,0,13.4832772461351,вкусный
964,кислятина,существительное,1,0,0,1,0,0,0,0,0.6963709679785106,вкусный
969,колкий,прилагательное,1,1,0,0,0,0,1,0,1.5462725430703936,осязание
970,колко,наречие,1,1,0,0,0,0,1,0,0.2960947422900754,осязание
973,колоритный,прилагательное,0,0,1,1,0,1,0,0,3.7889160541192974,яркость
974,колотун,существительное,1,1,0,0,0,0,1,0,0.27964503438507116,температура
977,колючий,прилагательное,1,1,0,0,0,0,0,0,19.180359417234882,осязание
978,колющий,прилагательное,1,1,0,0,0,0,0,0,1.0418148339835984,осязание
989,кораллово-красный,прилагательное,1,0,1,0,0,0,0,0,0.06031559565168203,цвет
992,коралловый,прилагательное,1,0,1,0,0,0,1,0,2.4564897138139585,цвет
994,коричневатый,прилагательное,1,0,1,0,0,0,0,0,1.453057531608703,цвет
995,коричневенький,прилагательное,1,0,1,0,0,0,0,0,0.032899415810008374,цвет
997,коричнево-серый,прилагательное,1,0,1,0,0,0,0,0,0.07128206758835147,цвет
998,коричневый,прилагательное,1,0,1,0,0,0,0,0,26.3195326480067,цвет
1001,коротенек,наречие,0,0,1,0,1,0,0,0,0.2412623826067281,размер
1003,коротенький,прилагательное,0,0,1,0,1,0,0,0,6.497634622476654,размер
1005,короткий,прилагательное,0,0,1,0,1,0,0,0,126.14184345154044,размер
1006,коротко,наречие,0,0,1,0,1,0,0,0,29.614957464975873,размер
1008,коротковатый,прилагательное,0,0,1,0,1,0,0,0,1.0089154181735902,размер
1011,корявый,прилагательное,1,0,1,0,0,0,0,0,6.996609095595114,форма
1013,красненький,прилагательное,1,0,1,0,0,0,0,0,1.5627222509753977,цвет
1015,красно-коричневый,прилагательное,1,0,1,0,0,0,0,0,1.1788957331919667,цвет
1016,красно-оранжевый,прилагательное,1,0,1,0,0,0,0,0,0.21384620276505445,цвет
1017,красно-фиолетовый,прилагательное,1,0,1,0,0,0,0,0,0.14256413517670294,цвет
1019,красновато-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.23577914663839333,цвет
1020,красновато-оранжевый,прилагательное,1,0,1,0,0,0,0,0,0.049349123715012565,цвет
1022,красновато-серый,прилагательное,1,0,1,0,0,0,0,0,0.032899415810008374,цвет
1024,красный,прилагательное,1,0,1,0,0,0,0,0,268.37698447014327,цвет
1026,красный-прекрасный,прилагательное,1,0,1,0,0,0,0,0,0.049349123715012565,цвет
1027,красочно,наречие,0,0,1,1,0,0,1,светлый,2.056213488125523,яркость
1028,красочность,существительное,0,0,1,1,0,0,1,0,0.6250889003901591,яркость
1029,красочный,прилагательное,0,0,1,1,0,0,1,яркий,8.29065278412211,яркость
1032,кремово-белый,прилагательное,1,0,1,0,0,0,0,0,0.032899415810008374,цвет
1035,кремовый,прилагательное,1,0,1,0,0,0,1,0,2.5058388375289713,цвет
1039,кривой,прилагательное,1,0,1,0,0,0,0,0,10.62102807066437,форма
1040,кроваво-красный,прилагательное,1,0,1,0,0,0,1,0,0.9376333505852387,цвет
1044,крохотность,существительное,1,0,1,0,0,0,0,0,0.0383826517783431,размер
